HSK Set;Number;Character;Pinyin;Meaning
1;147;后;hòu;"back; behind; after; later"
1;148;后边;hòu biān;"behind; back"
1;149;后天;hòu tiān;day after tomorrow
1;150;花（名）;huā;flower
1;151;话;huà;"word; words"
1;152;坏;huài;bad
1;153;还;huán;"return; pay back"
1;154;回（动）;huí;"go back; return"
1;155;回答;huídá;Answer
1;156;回到;huí dào;back to
1;157;回家;huí jiā;"go home; return home"
1;158;回来;huí lái;"come back; return"
1;159;回去;huí qù;go back
1;160;会（动）;huì;"can; be able to"
1;161;火车;huǒ chē;train
1;162;机场;jīchǎng;Airport
1;163;机票;jī piào;air ticket
1;164;鸡蛋;jīdàn;Egg
1;165;几;jǐ;several
1;166;记;jì;remember
1;167;记得;jìdé;remember
1;168;记住;jì zhù;"remember; keep in mind"
1;169;家;jiā;home
1;170;家里;jiā lǐ;In the home
1;171;家人;jiā rén;family
1;172;间;jiān;"between; measure word for rooms"
1;173;见;jiàn;"see; meet"
1;174;见面;jiànmiàn;meet
1;175;教;jiāo;teach
1;176;叫（动）;jiào;"call; be called"
1;177;教学楼;jiào xué lóu;teaching building
1;178;姐姐｜姐;jiě jie ｜ jiě;elder sister
1;179;介绍;jièshào;introduce
1;180;今年;jīn nián;this year
1;181;今天;jīntiān;Today
1;182;进;jìn;enter
1;183;进来;jìn lái;come in
1;184;进去;jìn qù;go in
1;185;九;jiǔ;Nine
1;186;就;jiù;"as soon as; right away; then"
1;187;觉得;juéde;Think
1;188;开;kāi;open
1;189;开车;kāi chē;"drive; drive a car"
1;190;开会;kāi huì;have a meeting
1;191;开玩笑;kāiwánxiào;Make fun of
1;192;看;kàn;see
1;193;看病;kàn bìng;see a doctor
1;194;看到;kàn dào;see
1;195;看见;kànjiàn;seeing
1;196;考;kǎo;"test; examine"
1;197;考试;kǎoshì;Examination
1;198;渴;kě;thirsty
1;199;课;kè;course
1;200;课本;kè běn;textbook
1;201;课文;kè wén;text
1;202;口;kǒu;mouth
1;203;块;kuài;block
1;204;快;kuài;fast
1;205;来;lái;come
1;206;来到;lái dào;"come; arrive"
1;207;老（形）;lǎo;"old; aged"
1;208;老人;lǎo rén;"old people; the aged"
1;209;老师;lǎoshī;Teacher
1;210;了;le;past tense marker
1;211;累;lèi;tired
1;212;冷;lěng;cold
1;213;里;lǐ;in
1;214;里边;lǐ biān;inside
1;215;两（数）;liǎng;two
1;216;零｜〇;líng ｜ líng;zero
1;217;六;liù;Six
1;218;楼;lóu;floor
1;219;楼上;lóu shàng;upstairs
1;220;楼下;lóu xià;downstairs
1;221;路;lù;road
1;222;路口;lù kǒu;"intersection; crossing"
1;223;路上;lù shàng;on the road
1;224;妈妈｜妈;mā ma ｜ mā;"mom; mother"
1;225;马路;mǎ lù;"road; street"
1;226;马上;mǎshàng;Right off
1;227;吗;ma;auxiliary word
1;228;买;mǎi;buy
1;229;慢;màn;slow
1;230;忙;máng;busy
1;231;毛（量）;máo;a fractional unit of money in China (measure word)
1;232;没;méi;no
1;233;没关系;méiguānxi;No problem
1;234;没什么;méi shén me;It’s nothing
1;235;没事儿;méi shìr;It’s okay
1;236;没有;méi yǒu;"have not; no"
1;237;妹妹｜妹;mèi mei ｜ mèi;younger sister
1;238;门;mén;door
1;239;门口;mén kǒu;doorway
1;240;门票;mén piào;tickets
1;241;们（朋友们）;men （ péng yǒu men ）;plural marker for pronouns and a few animate nouns (friends)
1;242;米饭;mǐfàn;Steamed Rice
1;243;面包;miànbāo;Bread
1;244;面条儿;miàn tiáor;noodles
1;245;名字;míngzi;Name
1;246;明白;míngbai;clear
1;247;明年;míng nián;next year
1;248;明天;míngtiān;Tomorrow
1;249;拿;ná;take
1;250;哪;nǎ;which
1;251;哪里;nǎ lǐ;where
1;252;哪儿;nǎr;where
1;253;哪些;nǎ xiē;which
1;254;那（代）;nà;that
1;255;那边;nà biān;there
1;256;那里;nà lǐ;there
1;257;那儿;nàr;there
1;258;那些;nà xiē;those
1;259;奶;nǎi;milk
1;260;奶奶;nǎinai;grandma
1;261;男;nán;Man
1;262;男孩儿;nán háir;boy
1;263;男朋友;nán péng yǒu;boyfriend
1;264;男人;nán ren;man
1;265;男生;nán shēng;boy
1;266;南;nán;south
1;267;南边;nán biān;"south; south side"
1;268;难;nán;hard, difficult
1;269;呢;ne;auxiliary word
1;270;能;néng;can
1;271;你;nǐ;you
1;272;你们;nǐ men;you
1;273;年;nián;year
1;274;您;nín;you
1;275;牛奶;niúnǎi;milk
1;276;女;nǚ;woman
1;277;女儿;nǚ’ér;daughter
1;278;女孩儿;nǚ háir;girl
1;279;女朋友;nǚ péng yǒu;girlfriend
1;280;女人;nǚ ren;woman
1;281;女生;nǚ shēng;girl
1;282;旁边;pángbiān;Side
1;283;跑;pǎo;run
1;284;朋友;péngyou;Friend
1;285;票;piào;ticket
1;286;七;qī;Seven
1;287;起;qǐ;"get up; start; rise"
1;288;起床;qǐchuáng;Get up
1;289;起来;qǐlái;get up
1;290;汽车;qì chē;car
1;291;前;qián;front
1;292;前边;qián biān;in front
1;293;前天;qián tiān;the day before yesterday
1;294;钱;qián;money
1;295;钱包;qián bāo;wallet
1;296;请;qǐng;please
1;297;请假;qǐngjià;ask for leave
1;298;请进;qǐng jìn;please come in
1;299;请问;qǐng wèn;excuse me
1;300;请坐;qǐng zuò;please have a seat
1;301;球;qiú;ball
1;302;去;qù;go
1;303;去年;qùnián;Last year
1;304;热;rè;heat
1;305;人;rén;people
1;306;认识;rènshi;know
1;307;认真;rènzhēn;earnest
1;308;日;rì;date
1;309;日期;rìqī;Date
1;310;肉;ròu;meat
1;311;三;sān;Three
1;312;山;shān;mountain
1;313;商场;shāng chǎng;"mall; shopping mall"
1;314;商店;shāngdiàn;Shop
1;315;上;shàng;upper
1;316;上班;shàngbān;go to work
1;317;上边;shàng biān;"above; on"
1;318;上车;shàng chē;get on
1;319;上次;shàng cì;last time
1;320;上课;shàng kè;"attend class; have a class"
1;321;上网;shàngwǎng;Surf the Internet
1;322;上午;shàngwǔ;morning
1;323;上学;shàng xué;go to school
1;324;少;shǎo;less
1;325;谁;shéi;who
1;326;身上;shēn shàng;"body; on one’s body"
1;327;身体;shēntǐ;body
1;328;什么;shénme;What
1;329;生病;shēngbìng;Fall ill
1;330;生气;shēngqì;get angry
1;331;生日;shēngrì;Birthday
1;332;十;shí;Ten
1;333;时候;shíhou;time
1;334;时间;shíjiān;time
1;335;事;shì;thing
1;336;试;shì;try
1;337;是;shì;yes
1;338;是不是;shì bú shì;isn’t it?
1;339;手;shǒu;hand
1;340;手机;shǒujī;Mobile phone
1;341;书;shū;book
1;342;书包;shū bāo;school bag
1;343;书店;shū diàn;bookstore
1;344;树;shù;tree
1;345;水;shuǐ;water
1;346;水果;shuǐguǒ;Fruits
1;347;睡;shuì;sleep
1;348;睡觉;shuìjiào;sleep
1;349;说;shuō;speak
1;350;说话;shuōhuà;talk
1;351;四;sì;Four
1;352;送;sòng;give
1;353;岁;suì;year, age
1;354;他;tā;he
1;355;他们;tā men;they
1;356;她;tā;she
1;357;她们;tā men;they
1;358;太;tài;too
1;359;天;tiān;day
1;360;天气;tiānqì;weather
1;361;听;tīng;hear
1;362;听到;tīng dào;hear
1;363;听见;tīng jiàn;hear
1;364;听写;tīng xiě;"dictation; dictate"
1;365;同学;tóngxué;Classmate
1;366;图书馆;túshūguǎn;Library
1;367;外;wài;abroad, outside
1;368;外边;wài biān;outside
1;369;外国;wài guó;foreign country
1;370;外语;wài yǔ;foreign language
1;371;玩儿;wánr;play
1;372;晚;wǎn;late
1;373;晚饭;wǎn fàn;dinner
1;374;晚上;wǎnshang;Night
1;375;网上;wǎng shàng;online
1;376;网友;wǎng yǒu;net friend
1;377;忘;wàng;forget
1;378;忘记;wàngjì;forget
1;379;问;wèn;ask
1;380;我;wǒ;I
1;381;我们;wǒmen;We
1;382;五;wǔ;Five
1;383;午饭;wǔ fàn;lunch
1;384;西;xī;west
1;385;西边;xī biān;"west; west side"
1;386;洗;xǐ;wash
1;387;洗手间;xǐshǒujiān;Restroom
1;388;喜欢;xǐhuan;like
1;389;下（名、动）;xià;"below; under; next; go down; get off"
1;390;下班;xià bān;get off work
1;391;下边;xià biān;"below; under"
1;392;下车;xià chē;get off
1;393;下次;xià cì;next time
1;394;下课;xià kè;finish class
1;395;下午;xiàwǔ;Afternoon
1;396;下雨;xiàyǔ;rain
1;397;先;xiān;before
1;398;先生;xiānsheng;Sir
1;399;现在;xiànzài;Now
1;400;想;xiǎng;think
1;401;小;xiǎo;Small
1;402;小孩儿;xiǎo háir;"child; kid"
1;403;小姐;xiǎojiě;Miss
1;404;小朋友;xiǎo péng yǒu;"child; kid"
1;405;小时;xiǎoshí;hour
1;406;小学;xiǎo xué;"primary school; elementary schoo"
1;407;小学生;xiǎo xué shēng;elementary school student
1;408;笑;xiào;laugh
1;409;写;xiě;write
1;410;谢谢;xièxie;Thank you
1;411;新;xīn;new
1;412;新年;xīn nián;New Year
1;413;星期;xīngqī;week
1;414;星期日;xīng qī rì;Sunday
1;415;星期天;xīng qī tiān;Sunday
1;416;行;xíng;That’s ok
1;417;休息;xiūxi;Rest
1;418;学;xué;"learn; study"
1;419;学生;xuésheng;Student
1;420;学习;xuéxí;Study
1;421;学校;xuéxiào;School
1;422;学院;xué yuàn;"college; academy"
1;423;要（动）;yào;want
1;424;爷爷;yéye;grandpa
1;425;也;yě;also
1;426;页;yè;page
1;427;一;yī;One
1;428;衣服;yīfu;clothes
1;429;医生;yīshēng;Doctor
1;430;医院;yīyuàn;Hospital
1;431;一半;yí bàn;half
1;432;一会儿;yíhuìr;A little while
1;433;一块儿;yí kuàir;together
1;434;一下儿;yí xiàr;a little bit
1;435;一样;yíyàng;equally
1;436;一边;yìbiān;One side
1;437;一点儿;yīdiǎnr;a little bit
1;438;一起;yìqǐ;together
1;439;一些;yì xiē;some
1;440;用;yòng;use
1;441;有;yǒu;have
1;442;有的;yǒu de;some
1;443;有名;yǒumíng;Famous
1;444;有时候｜有时;yǒu shí hòu ｜ yǒu shí;sometimes
1;445;有（一）些;yǒu （ yì ） xiē;some
1;446;有用;yǒu yòng;useful
1;447;右;yòu;right
1;448;右边;yòubian;Right
1;449;雨;yǔ;rain
1;450;元;yuán;"element; Yuan"
1;451;远;yuǎn;far
1;452;月;yuè;month
1;453;再;zài;again
1;454;再见;zàijiàn;Bye
1;455;在;zài;"stay; in process of"
1;456;在家;zài jiā;at home
1;457;早;zǎo;early
1;458;早饭;zǎo fàn;breakfast
1;459;早上;zǎoshang;Morning
1;460;怎么;zěnme;How
1;461;站（名）;zhàn;station
1;462;找;zhǎo;look for
1;463;找到;zhǎo dào;find
1;464;这;zhè;Here (here)
1;465;这边;zhè biān;here
1;466;这里;zhè lǐ;here
1;467;这儿;zhèr;here
1;468;这些;zhè xiē;these
1;469;着;zhe;in process of
1;470;真;zhēn;really
1;471;真的;zhēn de;really
1;472;正（副）;zhèng;"just; exactly"
1;473;正在;zhèngzài;in process of
1;474;知道;zhīdào;know
1;475;知识;zhīshi;knowledge
1;476;中;zhōng;"middle; in"
1;477;中国;zhōngguó;China
1;478;中间;zhōngjiān;Middle
1;479;中文;zhōngwén;Chinese
1;480;中午;zhōngwǔ;Noon
1;481;中学;zhōng xué;middle school
1;482;中学生;zhōng xué shēng;middle School student
1;483;重;zhòng;heavy
1;484;重要;zhòngyào;important
1;485;住;zhù;live
1;486;准备;zhǔnbèi;Get ready
1;487;桌子;zhuōzi;Table
1;488;字;zì;word, character
1;489;子（桌子）;zi （ zhuō zi ）;noun suffix (table)
1;490;走;zǒu;go, walk
1;491;走路;zǒu lù;walk
1;492;最;zuì;most
1;493;最好;zuìhǎo;Best
1;494;最后;zuìhòu;Last
1;495;昨天;zuótiān;Yesterday
1;496;左;zuǒ;left
1;497;左边;zuǒbian;left
1;498;坐;zuò;sit
1;499;坐下;zuò xià;sit down
1;500;做;zuò;do
2;1;啊 ;a;auxiliary word
2;2;爱情;àiqíng;Love
2;3;爱人;ài rén;lover
2;4;安静;ānjìng;Be quiet
2;5;安全;ānquán;security
2;6;白色;bái sè;white
2;7;班长;bān zhǎng;"monitor; squad leader"
2;8;办;bàn;do
2;9;办法;bànfǎ;Way
2;10;办公室;bàngōngshì;Office
2;11;半夜;bàn yè;midnight
2;12;帮助;bāngzhù;Help
2;13;饱;bǎo;full
2;14;报名;bàomíng;sign up
2;15;报纸;bàozhǐ;Newspaper
2;16;北方;běifāng;north
2;17;背（动）;bēi;"carry on the back; shoulder"
2;18;比如;bǐrú;such as
2;19;比如说;bǐ rú shuō;for example
2;20;笔;bǐ;pen
2;21;笔记;bǐ jì;"note; notes"
2;22;笔记本;bǐjìběn;Notebook
2;23;必须;bìxū;Must
2;24;边;biān;side
2;25;变;biàn;change
2;26;变成;biàn chéng;"become; change into"
2;27;遍;biàn;measure word for times
2;28;表;biǎo;watch
2;29;表示;biǎoshì;Express
2;30;不错;bú cuò;"not bad; pretty good"
2;31;不但;bú dàn;not only
2;32;不够;bú gòu;not enough
2;33;不过;búguò;However
2;34;不太;bú tài;"not too; not very much"
2;35;不要;bú yào;don’t
2;36;不好意思;bù hǎo yì sī;"sorry; feel embarrassed"
2;37;不久;bù jiǔ;soon
2;38;不满;bù mǎn;dissatisfied
2;39;不如;bùrú;not as good as
2;40;不少;bù shǎo;"not a few; a lot"
2;41;不同;bù tóng;different
2;42;不行;bù xíng;"no way; be out of the question"
2;43;不一定;bù yī dìng;"not necessarily; uncertain"
2;44;不一会儿;bù yī huìr;"in a moment; in a little while; soon"
2;45;部分;bùfen;Part
2;46;才（副）;cái;"only; just"
2;47;菜单;càidān;menu
2;48;参观;cānguān;visit
2;49;参加;cānjiā;participate in
2;50;草;cǎo;grass
2;51;草地;cǎo dì;"grass; lawn"
2;52;层;céng;layer
2;53;查;chá;"search; check"
2;54;差不多;chàbuduō;Almost
2;55;长;cháng;long
2;56;常见;cháng jiàn;common
2;57;常用;cháng yòng;in common use
2;58;场;chǎng;site
2;59;超过;chāoguò;Exceed
2;60;超市;chāoshì;Supermarket
2;61;车辆;chē liàng;"car; vehicle"
2;62;称¹（动）;chēng;"call; say"
2;63;成（动）;chéng;"become; finish"
2;64;成绩;chéngjì;achievement
2;65;成为;chéngwéi;Become
2;66;重复;chóngfù;repeat
2;67;重新;chóngxīn;again
2;68;出发;chūfā;Set out
2;69;出国;chū guó;go abroad
2;70;出口（名）;chū kǒu;export
2;71;出门;chū mén;go out
2;72;出生;chūshēng;Birth
2;73;出现;chūxiàn;Appear
2;74;出院;chū yuàn;"discharged; leave hospital"
2;75;出租;chū zū;rent
2;76;出租车;chūzūchē;Taxi
2;77;船;chuán;ship
2;78;吹;chuī;blow
2;79;春节;chūn jié;"Spring Festival; Chinese New Year"
2;80;春天;chūn tiān;spring
2;81;词;cí;word
2;82;词典;cídiǎn;Dictionary
2;83;词语;cíyǔ;terms
2;84;从小;cóng xiǎo;from childhood
2;85;答应;dāying;promise
2;86;打工;dǎgōng;Work
2;87;打算;dǎsuàn;Plan
2;88;打印;dǎyìn;Print
2;89;大部分;dà bù fèn;most
2;90;大大;dà dà;"greatly; enormously"
2;91;大多数;dà duō shù;"most; great majority"
2;92;大海;dà hǎi;sea
2;93;大家;dàjiā;everybody
2;94;大量;dà liàng;"a lot of; lots of"
2;95;大门;dà mén;"door; gate"
2;96;大人;dà rén;adult
2;97;大声;dà shēng;loud
2;98;大小;dà xiǎo;size
2;99;大衣;dà yī;overcoat
2;100;大自然;dà zì rán;nature
2;101;带;dài;belt
2;102;带来;dài lái;bring
2;103;单位;dānwèi;Company
2;104;但;dàn;"but; however"
2;105;但是;dàn shì;"but; however"
2;106;蛋;dàn;egg
2;107;当;dāng;When
2;108;当时;dāngshí;at that time
2;109;倒;dǎo;fall, topple, fail
2;110;到处;dàochù;everywhere
2;111;倒;dào;inverted
2;112;道;dào;"road; way; path"
2;113;道理;dàolǐ;truth
2;114;道路;dào lù;"road; way; path"
2;115;得;dé;get
2;116;得出;dé chū;"obtain results; reach conclusion"
2;117;的话;de huà;if
2;118;得;de;auxiliary verb
2;119;灯;dēng;lamp
2;120;等（助、名）;děng;"etc.; and so on"
2;121;等到;děng dào;"wait until; by the time"
2;122;等于;děngyú;Be equal to
2;123;低;dī;low
2;124;地球;dìqiú;earth
2;125;地铁;dìtiě;metro
2;126;地铁站;dì tiě zhàn;subway station
2;127;点头;diǎn tóu;nod
2;128;店;diàn;"shop; store"
2;129;掉;diào;fall
2;130;东北;dōng běi;northeast
2;131;东方;dōng fāng;east
2;132;东南;dōng nán;southeast
2;133;冬天;dōng tiān;winter
2;134;懂;dǒng;understand
2;135;懂得;dǒng de;"know; understand; comprehend"
2;136;动物;dòngwù;Animal
2;137;动物园;dòng wù yuán;zoo
2;138;读音;dú yīn;pronunciation
2;139;度;dù;"degree; limit"
2;140;短;duǎn;short
2;141;短信;duǎnxìn;message
2;142;段;duàn;paragraph
2;143;队;duì;team
2;144;队长;duì zhǎng;"team leader; captain"
2;145;对（介、动）;duì;"to; at; face; be opposite; answer"
2;146;对话;duìhuà;dialogue
2;147;对面;duìmiàn;Opposite side
2;148;多（副）;duō;"much more; far more"
2;149;多久;duō jiǔ;how long
2;150;多么;duōme;what
2;151;多数;duō shù;"most; majority"
2;152;多云;duō yún;cloudy
2;153;而且;ér qiě;and
2;154;发;fā;send out
2;155;发现;fāxiàn;find
2;156;饭馆;fàn guǎn;restaurant
2;157;方便;fāngbiàn;convenient
2;158;方便面;fāng biàn miàn;Instant noodles
2;159;方法;fāngfǎ;Method
2;160;方面;fāngmiàn;Aspect
2;161;方向;fāngxiàng;direction
2;162;放下;fàng xià;"put down; lay down; drop"
2;163;放心;fàngxīn;Don’t worry
2;164;分（动）;fēn;"divide; part; distribute"
2;165;分开;fēn kāi;"separate; part"
2;166;分数;fēn shù;"score; mark; fraction"
2;167;分钟;fēnzhōng;Minute
2;168;份;fèn;share
2;169;封（量）;fēng;(measure word)
2;170;服务;fú wù;service
2;171;复习;fùxí;Review
2;172;该（动）;gāi;"deserve; should; owe"
2;173;改;gǎi;"change; correct; revise; switch over"
2;174;改变;gǎibiàn;change
2;175;干杯;gānbēi;Cheers!
2;176;感到;gǎn dào;"feel; sense"
2;177;感动;gǎndòng;Be moved
2;178;感觉;gǎnjué;feel
2;179;感谢;gǎnxiè;Thank
2;180;干活儿;gànhuór;work on a job
2;181;刚;gāng;just
2;182;刚才;gāngcái;just
2;183;刚刚;gāng gāng;"just; only; just a moment ago"
2;184;高级;gāojí;senior
2;185;高中;gāo zhōng;senior high school
2;186;个子;gèzi;Height
2;187;更;gèng;more
2;188;公共汽车;gōnggòngqìchē;Bus
2;189;公交车;gōng jiāo chē;bus
2;190;公斤;gōngjīn;Kg.
2;191;公里;gōnglǐ;kilometre
2;192;公路;gōng lù;"highway; highroad"
2;193;公平;gōngpíng;fair
2;194;公司;gōngsī;company
2;195;公园;gōngyuán;Park
2;196;狗;gǒu;Dog
2;197;够;gòu;enough
2;198;故事;gùshi;Story
2;199;故意;gùyì;deliberately
2;200;顾客;gùkè;customer
2;201;关机;guān jī;shutdown
2;202;关心;guānxīn;Care for
2;203;观点;guāndiǎn;viewpoint
2;204;广场;guǎngchǎng;square
2;205;广告;guǎnggào;Advertisement
2;206;国际;guójì;international
2;207;过来;guò lái;"come; come over"
2;208;过年;guò nián;celebrate the New Year
2;209;过去（动）;guò qù;"go over; pass by"
2;210;过;guò;"cross; pass; spend; live"
2;211;海;hǎi;sea
2;212;海边;hǎi biān;seaside
2;213;喊;hǎn;shout
2;214;好（副）;hǎo;"well; fine; okay"
2;215;好处;hǎochu;benefit
2;216;好多;hǎo duō;"many; a lot of"
2;217;好久;hǎo jiǔ;"for a long time; long"
2;218;好人;hǎo rén;good person
2;219;好事;hǎo shì;"good deed; good thing"
2;220;好像;hǎoxiàng;Be like
2;221;合适;héshì;appropriate
2;222;河;hé;river
2;223;黑;hēi;black
2;224;黑板;hēibǎn;blackboard
2;225;黑色;hēi sè;black
2;226;红;hóng;red
2;227;红色;hóng sè;red
2;228;后来;hòulái;later
2;229;忽然;hūrán;suddenly
2;230;湖;hú;lake
2;231;护照;hùzhào;passport
2;232;花（动）;huā;"spend; expend"
2;233;花园;huā yuán;garden
2;234;画;huà;painting
2;235;画家;huà jiā;"painter; artist"
2;236;画儿;huàr;"painting; drawing"
2;237;坏处;huài chù;"disadvantage; harm"
2;238;坏人;huài rén;bad person
2;239;欢迎;huānyíng;Welcome
2;240;换;huàn;change
2;241;黄;huáng;yellow
2;242;黄色;huáng sè;yellow
2;243;回（量）;huí;(measure word)
2;244;回国;huí guó;return home from abroad
2;245;会（名）;huì;"meeting; gathering; conference; union; party"
2;246;活动;huódòng;activity
2;247;或;huò;or
2;248;或者;huòzhě;perhaps
2;249;机会;jīhuì;Opportunity
2;250;鸡;jī;chicken
2;251;级;jí;"level; rank; grade; degree; step"
2;252;急;jí;"fast; anxious; urgent; annoyed"
2;253;计划;jìhuà;plan
2;254;计算机;jì suàn jī;computer
2;255;加;jiā;"add; increase; put in"
2;256;加油;jiā yóu;"oil; refuel; make an all-out effort"
2;257;家（科学家）;jiā;noun suffix (scientist)
2;258;家庭;jiātíng;Family
2;259;家长;jiā zhǎng;"parent; the head of the family"
2;260;假;jiǎ;false 
2;261;假期;jià qī;"holiday; vacation"
2;262;检查;jiǎnchá;"inspect; check"
2;263;见到;jiàn dào;see
2;264;见过;jiàn guò;"seen; have seen"
2;265;件;jiàn;piece
2;266;健康;jiànkāng;Healthy
2;267;讲;jiǎng;speak
2;268;讲话;jiǎng huà;"speak; talk"
2;269;交;jiāo;hand over
2;270;交给;jiāo gěi;hand over
2;271;交朋友;jiāo péng yǒu;make friends
2;272;交通;jiāotōng;traffic
2;273;角;jiǎo;horn
2;274;角度;jiǎodù;angle
2;275;饺子;jiǎozi;Dumplings
2;276;脚;jiǎo;foot
2;277;叫作;jiào zuò;"be called; be known as"
2;278;教师;jiào shī;teacher
2;279;教室;jiàoshì;Classroom
2;280;教学;jiào xué;teach
2;281;教育;jiàoyù;education
2;282;接;jiē;meet， pick
2;283;接到;jiē dào;receive
2;284;接受;jiēshòu;accept
2;285;接下来;jiē xià lái;next
2;286;接着;jiēzhe;Next
2;287;街;jiē;street
2;288;节（名、量）;jié;"festival; holiday; joint; (measure word)"
2;289;节目;jiémù;program
2;290;节日;jiérì;festival
2;291;结果;jiéguǒ;Result
2;292;借;jiè;borrow
2;293;斤;jīn;a unit of weight (=1/2 kilogram)
2;294;今后;jīn hòu;"from now on; in the future"
2;295;进入;jìn rù;"enter; go in; join"
2;296;进行;jìnxíng;Conduct
2;297;近;jìn;near
2;298;经常;jīngcháng;Often
2;299;经过;jīngguò;after, through
2;300;经理;jīnglǐ;manager
2;301;酒;jiǔ;"alcohol; liqueur"
2;302;酒店;jiǔ diàn;hotel
2;303;就要;jiù yào;"be going to; be about to"
